598646,200159176
756310,200159176
957107,200159176
750839,200159176
189994,200159176
467504,200159176
800668,200149134
532477,200149134
259127,200149134
507456,200159176
983829,200159176
867583,200159176
515852,200159176
239627,200159176
487842,200159176
464915,200159176
662433,200159176
492670,200159176
588096,200159176
830004,200159176
841375,200159176
790876,200159176
852351,200159176
871482,200159176
455534,200159176
507056,200159706
468271,200159706
981534,200159706
884823,200159706
609884,200159706
422857,200159176
219307,200159176
803192,200159176
834639,200159176
